Front,Back,Tags
"A♣","Szympans | drapie się po głowie | banan","PAO karty trefle zwierzęta"
"2♣","Orzeł | lata | skrzydła","PAO karty trefle zwierzęta"
"3♣","Słoń | tryska wodą | trąba","PAO karty trefle zwierzęta"
"4♣","Rekin | gryzie | płetwa","PAO karty trefle zwierzęta"
"5♣","Goryl | bije się w pierś | opona","PAO karty trefle zwierzęta"
"6♣","Wąż | syczy | jad","PAO karty trefle zwierzęta"
"7♣","Niedźwiedź | drapie | miód","PAO karty trefle zwierzęta"
"8♣","Wilk | wyje | księżyc","PAO karty trefle zwierzęta"
"9♣","Tygrys | skrada się | paski","PAO karty trefle zwierzęta"
"10♣","Krokodyl | szczęka | łzy","PAO karty trefle zwierzęta"
"J♣","Koń | galopuje | siodło","PAO karty trefle zwierzęta"
"Q♣","Paw | rozpuszcza ogon | pióra","PAO karty trefle zwierzęta"
"K♣","Lew | ryczy | grzywa","PAO karty trefle zwierzęta"
"A♠","Robert Lewandowski | strzela gola z przewrotki | korki","PAO karty piki sportowcy"
"2♠","Adam Małysz | leci na nartach | gogle","PAO karty piki sportowcy"
"3♠","Justyna Kowalczyk | biega na nartach | kijki","PAO karty piki sportowcy"
"4♠","Robert Kubica | szybko jeździ | auto","PAO karty piki sportowcy"
"5♠","Marcin Gortat | wsad | kosz","PAO karty piki sportowcy"
"6♠","Anita Włodarczyk | rzuca młotem | młot","PAO karty piki sportowcy"
"7♠","Cristiano Ronaldo | wykonuje siu | koszulka Portugalii","PAO karty piki sportowcy"
"8♠","Michał Kwiatkowski | pedałuje | kask kolarski","PAO karty piki sportowcy"
"9♠","Mike Tyson | nokautuje | złoty pas","PAO karty piki sportowcy"
"10♠","Lionel Messi | drybluje między pachołkami | yerba mate","PAO karty piki sportowcy"
"J♠","Tymoteusz Puchacz | potyka się | tatuaże","PAO karty piki sportowcy"
"Q♠","Iga Świątek | serwuje | rakieta tenisowa","PAO karty piki sportowcy"
"K♠","Mariusz Pudzianowski | podnosi | kamień","PAO karty piki sportowcy"
"A♦","Donald Tusk | tweetuje | telefon","PAO karty karo politycy"
"2♦","Jarosław Kaczyński | głaszcze kota | kot","PAO karty karo politycy"
"3♦","Andrzej Duda | podpisuje | długopis","PAO karty karo politycy"
"4♦","Rafał Trzaskowski | jeździ na rowerze | tęczowa opaska","PAO karty karo politycy"
"5♦","Szymon Hołownia | przemawia | mikrofon","PAO karty karo politycy"
"6♦","Mateusz Morawiecki | liczy | kalkulator","PAO karty karo politycy"
"7♦","Lech Wałęsa | protestuje | transparent","PAO karty karo politycy"
"8♦","Aleksander Kwaśniewski | toastuje | kieliszek","PAO karty karo politycy"
"9♦","Bronisław Komorowski | potyka się | schody","PAO karty karo politycy"
"10♦","Zbigniew Ziobro | oskarża | teczka","PAO karty karo politycy"
"J♦","Władysław Kosiniak-Kamysz | orze pole | traktor","PAO karty karo politycy"
"Q♦","Robert Biedroń | maszeruje | tęczowa flaga","PAO karty karo politycy"
"K♦","Krzysztof Bosak | debatuje | konstytucja","PAO karty karo politycy"
"A♥","Warszawa | buduje wieżowiec | syrenka","PAO karty kiery miasta"
"2♥","Kraków | trąbi hejnał | smok wawelski","PAO karty kiery miasta"
"3♥","Paryż | maluje obraz | wieża Eiffla","PAO karty kiery miasta"
"4♥","Nowy Jork | śpieszy się | żółta taksówka","PAO karty kiery miasta"
"5♥","Londyn | pije herbatę | czerwony autobus","PAO karty kiery miasta"
"6♥","Rzym | je spaghetti | gladiatorski hełm","PAO karty kiery miasta"
"7♥","Berlin | burzy mur | młot","PAO karty kiery miasta"
"8♥","Tokio | walczy karate | miecz samurajski","PAO karty kiery miasta"
"9♥","Barcelona | tańczy flamenco | sangria","PAO karty kiery miasta"
"10♥","Moskwa | pije wódkę | uszanka","PAO karty kiery miasta"
"J♥","Amsterdam | jeździ rowerem | tulipan","PAO karty kiery miasta"
"Q♥","Wenecja | płynie gondolą | maska wenecka","PAO karty kiery miasta"
"K♥","Las Vegas | gra w karty | żetony kasyna","PAO karty kiery miasta"
